,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,sex_ratio,literacy_rate
299,Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,4492767,124461,8716055,1355630,280700,39149,449617,9862,2231800,256170,551643,712171,1530916,1588196,1751284,1080597,961719,7739336,1692022,35118,89.0,74.0
300,Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,608235,13785,1057096,53854,2696,2147,175417,2254,266155,4313,16260,140470,186781,201471,225208,158055,93772,1012774,212054,2754,95.0,78.0
301,Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,569792,7122,859949,142672,1707,518,179330,381,196022,1875,10757,166509,238985,160331,162762,116032,47865,899778,291525,1942,93.0,73.0
302,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,1355999,17899,2251401,239236,4567,1596,249874,3745,446516,6094,29917,391944,562739,382001,389924,245819,123074,2117390,718204,4937,95.0,73.0
303,Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,109937,11567,175102,18691,4264,56,76,38457,34364,676,3447,15941,36011,50004,31775,20077,20074,175322,67610,226,100.0,66.0
304,Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,76238,3040,10810,3086,129049,136,400,354,18764,184,1782,17382,28163,30589,18971,12213,8105,115663,38191,250,93.0,63.0
305,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,122655,5067,12034,2886,254979,152,495,2333,29894,837,4496,32860,67907,65475,38567,23284,14523,243125,57561,327,97.0,71.0
306,Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,233622,4978,43833,1649,426819,140,2409,1243,22798,256,2170,46757,81735,91395,62033,40438,24940,347896,191001,823,94.0,55.0
307,Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,70675,1710,2995,589,134760,59,425,1144,11541,125,1362,11155,28461,26794,17867,11645,7102,103294,45317,90,94.0,60.0
308,Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,195319,21017,267146,107323,4322,106,114,42347,49507,880,5110,32396,69738,87932,55803,37899,28550,315532,118088,539,100.0,64.0
309,Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,87929,2233,7553,1115,174112,108,635,32,14026,276,2437,20670,29382,38350,31734,22729,15636,158906,42156,79,94.0,71.0
310,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,126073,2475,17272,3359,289708,56,1004,5617,24550,288,2368,51578,70679,52762,31328,9473,2484,218602,100781,450,97.0,60.0
311,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,326786,2966,144935,14185,543394,2495,3111,115597,135941,5032,19306,118135,163729,127722,94579,58836,61639,634037,168575,1456,101.0,70.0
312,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,154180,2004,12456,1646,271596,34,284,107559,41677,510,4333,67749,61526,34677,26748,13544,8039,215217,165184,528,101.0,47.0
313,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,53069,1249,7036,1050,132984,27,332,362,10940,179,1625,25906,28921,21506,13858,3998,826,95846,44849,139,95.0,58.0
314,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,255693,7643,122936,106788,389956,209,3392,16950,51301,1630,8872,85733,129178,90963,70941,29404,10856,420622,208900,791,98.0,56.0
315,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,163345,2475,6498,1533,366881,58,1313,5878,32873,149,2462,80318,78208,45046,28417,12295,6450,251275,133244,479,98.0,60.0
316,Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,174636,3360,13249,5264,379134,105,1570,505,79804,4019,21093,29332,68214,100103,78752,37701,31310,347470,38248,963,101.0,85.0
317,Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,60342,980,1075,699,123446,9,151,194,23948,186,2263,14491,31359,30454,16259,4956,4087,101684,15449,187,98.0,80.0
318,Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,36672,585,4000,4426,75210,16,108,46,14853,367,1986,11367,18046,20399,9849,3473,2530,65726,14217,142,96.0,78.0
319,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,45566,613,1668,522,63892,52,51549,2,9283,162,1329,19890,21114,16629,10538,3763,2515,74574,54874,242,95.0,53.0
320,Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,78292,813,5231,1290,127124,74,27543,5,26394,482,3725,22181,33313,34774,19918,8503,5509,124314,32451,274,95.0,75.0
321,Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,39339,262,2989,1782,69104,13,12328,19,12158,90,1073,9328,19711,19949,10756,3180,1771,64717,20091,94,93.0,70.0
322,Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,19461,313,933,514,54977,11,102,2,7400,168,1194,8422,14151,12130,7269,3628,2204,47873,8787,88,98.0,75.0
323,Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,32397,926,991,335,63444,6,60,35,12315,131,987,8771,14985,16237,9062,2915,2128,54133,5963,118,98.0,84.0
324,Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,151350,5073,108900,31212,234239,566,1270,157,71413,3303,12077,34539,61815,80076,44343,26712,27532,277956,58926,866,92.0,73.0
325,Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,114825,2072,25496,4384,234955,998,1519,335,50724,1928,7982,21654,46756,57726,30518,19855,23439,201718,45802,677,93.0,74.0
326,Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,159494,100067,3798,9840,2057,181847,78,442,6,40154,537,2728,20259,43483,54035,27425,13077,10299,169448,22555,346,93.0,82.0
327,Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,119626,147654,1608,8102,3444,236494,84,1256,1,14398,178,2844,37431,46055,30500,7628,3565,1772,127058,130529,381,90.0,48.0
328,Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,105893,80277,1275,3563,950,158224,31,350,198,36182,170,1558,22494,32722,30434,12785,7268,5926,112110,44456,219,95.0,65.0
329,Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,117511,98154,1104,2979,1052,191864,27,572,1,24998,155,2251,29602,40900,33514,15013,6008,2760,127913,66450,228,93.0,60.0
330,Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,128208,78412,1965,5605,2043,158236,34,318,20,25268,198,1757,15865,37024,41627,18746,10223,8030,131916,25048,359,97.0,77.0
331,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,102881,79466,2025,2580,772,136995,39,286,2,28846,261,2008,16523,30889,35113,17282,8821,5560,115295,25988,275,98.0,73.0
332,Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,1621232,932707,28736,2197709,94254,6434,237,111,18345,296834,7370,28289,342192,470502,416510,267354,112392,105962,1742405,628627,2664,96.0,70.0
333,Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,1094140,468599,14451,1398543,104202,745,169,81,61,164636,2637,15609,210736,391081,297270,177013,71815,67536,1232900,323145,1711,98.0,73.0
334,Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,2011469,936365,51809,2457729,141263,11985,1026,6276,168,349587,15046,40589,289414,545514,513039,328319,159456,181601,2062622,472182,3852,94.0,77.0
335,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,829910,435533,17312,1185542,4805,727,124,366,139,117172,1810,10600,188872,238599,193395,132002,53162,43064,859997,341887,1334,95.0,70.0
336,Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,262537,293933,5370,353160,1556,219482,53,2180,4,63112,635,5523,68405,76419,54787,36977,17084,12556,268110,335821,617,104.0,45.0
337,Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,2210050,1501772,56274,3486059,13315,23975,590,174,76,405298,9049,41059,518072,767140,508511,297490,121151,97147,2340777,1055331,4377,98.0,63.0
338,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,405879,247707,15836,553587,12783,10462,1441,80,67,81433,2498,7555,69122,101541,103622,70928,32909,22010,408064,143508,870,95.0,70.0
339,Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,802036,751930,18453,1555367,4975,11160,796,175,220,91171,1953,12622,213426,225468,172905,94044,40383,27385,780451,765368,1562,100.0,51.0
340,Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,399786,355349,11946,580300,2138,148895,82,290,23,28736,768,6609,108606,145604,108773,48856,21351,14962,450614,287948,739,104.0,55.0
341,Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,1089265,466890,16544,1386792,50247,1423,169,62,24,173107,1628,11836,218444,357621,298557,203472,76449,75926,1242976,294723,1540,101.0,76.0
342,Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,1749936,792193,39471,2147632,84060,12527,1264,475,434,349860,35701,75588,276378,445785,436534,295099,177974,247498,1945913,371244,4186,93.0,78.0
343,Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,568090,693406,14416,1294151,8850,68550,518,219,3384,85766,3988,17294,158847,158653,98266,60589,32257,29000,547812,770707,1519,103.0,41.0
344,Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,244706,310666,7725,600219,1871,10039,213,43,35,24604,448,3908,60913,64683,44962,19031,8487,5585,204863,390356,564,102.0,40.0
345,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,1369397,1223534,113808,2113079,33706,15008,661,162,351714,140189,2950,17999,283489,390037,385216,214921,92060,72847,1455985,1094844,2747,101.0,54.0
346,Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,688362,343633,17557,955754,5278,383,107,33,12,124984,1163,8278,174904,227102,177180,90089,36951,33148,745059,232558,984,92.0,71.0
347,Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,299383,305438,8641,601092,4952,1778,724,76,22,43976,757,4221,64389,114394,73787,51886,19577,10131,338480,316086,205,102.0,49.0
348,Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,1291939,621676,25115,1644905,46094,4239,193,243,302,201605,3416,16006,251520,413605,364098,179086,84374,87000,1395194,309790,2027,96.0,76.0
349,Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,407735,467122,9959,874445,4607,84916,219,249,44,61543,1553,9166,84956,97387,73210,46001,21439,17681,346980,583140,1074,105.0,42.0
350,Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,505840,59288,964188,20120,50637,2506,310,1117,126498,5231,14521,133005,185289,171876,108455,50705,45828,708229,282248,1548,98.0,68.0
351,Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,873227,26970,1532352,71391,385011,5713,710,89986,223537,12787,35024,208100,350349,335380,243386,120373,94710,1388888,660465,3130,97.0,64.0
352,Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,68301,1327,152638,28835,18391,46,63,14,47880,1868,4870,18943,32899,33458,29456,15930,18998,154561,32717,4890,105.0,77.0
353,Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,11802,69,27940,12856,958,3,21,3,7150,574,1484,2948,6043,7930,8773,5711,4475,36858,2993,10027,118.0,87.0
354,Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,16760,146,53537,1191,873,3,1,4,12859,207,597,3804,10954,8806,8044,4101,3836,40860,14923,10027,104.0,71.0
355,Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,917856,41642,690939,12502,54344,1716935,876,1044,461231,29961,63864,197944,313874,283819,328229,203656,142399,1485800,540010,6979,89.0,68.0
356,Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,549986,14938,380569,16299,2474,984286,246,559,255650,11284,32253,117795,182796,145626,163928,96329,70240,793380,438529,3365,87.0,61.0
357,Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,221555,8225,141363,3125,1227,469789,155,103,113549,4348,12276,53734,89433,71178,75419,48360,29838,373752,204895,1540,89.0,62.0
358,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,214783,8048,152851,16808,1698,427521,48,251,113683,5138,14294,51897,102257,83931,95073,59555,34990,432310,142314,1640,87.0,71.0
359,Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,756695,14679,906408,6844,19358,1090815,454,278,349662,10042,31070,196971,306838,226433,221806,147698,82448,1207928,714869,4283,89.0,60.0
360,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,757138,30903,1074332,27667,176587,1002874,405,812,411216,14428,38445,180897,315156,290618,372317,243539,104345,1528979,478020,5982,90.0,71.0
361,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,499822,15990,1000743,23089,14968,538208,3476,531,319930,13747,34328,143871,256127,238975,301435,176013,93618,1227466,294723,4305,96.0,76.0
362,Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,774472,29762,1394329,30233,26016,718363,11385,805,446200,39082,79134,183441,333736,304652,339758,216646,162965,1575774,387809,6883,92.0,74.0
363,Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,284165,9861,336124,10190,5445,453692,6662,334,161206,9732,23145,71698,127031,112774,128828,77442,48221,575495,174995,2472,91.0,71.0
364,Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1284822,71667,1502403,77713,16517,1863408,2007,1254,703624,58589,123400,277247,488129,443759,527568,318876,272280,2372099,631980,10593,87.0,73.0
365,Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,328512,13442,156539,10375,917,598443,123,493,140099,2673,10085,75708,106162,84553,85953,48663,27461,434158,311513,1694,88.0,55.0
